,TwitterDownsampled
0,179.619
1,178.239545455
2,169.489727273
3,168.003454545
4,164.311545455
5,161.318636364
6,163.102454545
7,157.168636364
8,151.641272727
9,152.338909091
10,145.319090909
11,127.962818182
12,134.204272727
13,127.027363636
14,117.115545455
15,114.485454545
16,107.297372727
17,103.438090909
18,100.422472727
19,96.2312818182
20,93.9340545455
21,92.8987545455
22,90.6081909091
23,88.8741454545
24,85.1513181818
25,85.2223363636
26,86.6498454545
27,84.3548
28,80.4743818182
29,82.8320727273
30,83.7527727273
31,82.2614545455
32,81.9733363636
33,80.7915272727
34,82.0702909091
35,83.2932454545
36,81.5203454545
37,80.1809363636
38,83.3133181818
39,85.1099
40,86.8981
41,90.7493454545
42,97.7169181818
43,100.598518182
44,100.3503
45,106.174090909
46,107.226736364
47,107.804454545
48,107.408363636
49,108.136909091
50,106.410363636
51,102.728545455
52,100.571063636
53,103.316081818
54,94.6965545455
55,87.8600545455
56,100.031009091
57,127.995909091
58,128.685636364
59,123.897818182
60,118.358181818
61,107.146709091
62,106.600054545
63,103.3848
64,107.734727273
65,105.351890909
66,107.281090909
67,109.010454545
68,108.996181818
69,110.399818182
70,112.014909091
71,112.763090909
72,113.532363636
73,113.792545455
74,113.065727273
75,114.130545455
76,110.1
77,107.798363636
78,104.793227273
79,100.464818182
80,100.838527273
81,96.2326272727
82,92.3905090909
83,93.1160818182
84,91.7896181818
85,89.1705636364
86,91.5433181818
87,91.4409181818
88,92.1688818182
89,91.2165818182
90,92.0235181818
91,92.3793363636
92,95.5391636364
93,94.3111272727
94,96.7597727273
95,96.1347272727
96,94.2439818182
97,96.0339
98,98.0165545455
99,98.5554
100,99.3058636364
101,97.5053727273
102,98.0263818182
103,98.7858272727
104,100.304127273
105,105.503818182
106,106.057672727
107,109.835818182
108,116.718181818
109,119.971090909
110,119.529727273
111,124.407454545
112,129.683
113,130.820636364
114,132.735090909
115,136.233090909
116,142.219090909
117,141.310181818
118,139.173363636
119,142.440272727
120,147.200545455
121,151.074909091
122,152.935181818
123,154.310545455
124,156.789272727
125,158.03
126,157.017818182
127,164.452181818
128,161.391090909
129,161.124272727
130,167.487181818
131,172.097636364
132,172.885363636
133,170.156454545
134,166.121909091
135,164.326272727
136,165.911454545
137,162.714545455
138,156.956363636
139,153.264363636
140,151.657545455
