,TwitterDownsampled
0,179.619
1,178.2395455
2,169.4897273
3,168.0034545
4,164.3115455
5,161.3186364
6,163.1024545
7,157.1686364
8,151.6412727
9,152.3389091
10,145.3190909
11,127.9628182
12,134.2042727
13,127.0273636
14,117.1155455
15,114.4854545
16,107.2973727
17,103.4380909
18,100.4224727
19,96.23128182
20,93.93405455
21,92.89875455
22,90.60819091
23,88.87414545
24,85.15131818
25,85.22233636
26,86.64984545
27,84.3548
28,80.47438182
29,82.83207273
30,83.75277273
31,82.26145455
32,81.97333636
33,80.79152727
34,82.07029091
35,83.29324545
36,81.52034545
37,80.18093636
38,83.31331818
39,85.1099
40,86.8981
41,90.74934545
42,97.71691818
43,100.5985182
44,100.3503
45,106.1740909
46,107.2267364
47,107.8044545
48,107.4083636
49,108.1369091
50,106.4103636
51,102.7285455
52,100.5710636
53,103.3160818
54,94.69655455
55,87.86005455
56,100.0310091
57,127.9959091
58,128.6856364
59,123.8978182
60,118.3581818
61,107.1467091
62,106.6000545
63,103.3848
64,107.7347273
65,105.3518909
66,107.2810909
67,109.0104545
68,108.9961818
69,110.3998182
70,112.0149091
71,112.7630909
72,113.5323636
73,113.7925455
74,113.0657273
75,114.1305455
76,110.1
77,107.7983636
78,104.7932273
79,100.4648182
80,100.8385273
81,96.23262727
82,92.39050909
83,93.11608182
84,91.78961818
85,89.17056364
86,91.54331818
87,91.44091818
88,92.16888182
89,91.21658182
90,92.02351818
91,92.37933636
92,95.53916364
93,94.31112727
94,96.75977273
95,96.13472727
96,94.24398182
97,96.0339
98,98.01655455
99,98.5554
100,99.30586364
101,97.50537273
102,98.02638182
103,98.78582727
104,100.3041273
105,105.5038182
106,106.0576727
107,109.8358182
108,116.7181818
109,119.9710909
110,119.5297273
111,124.4074545
112,129.683
113,130.8206364
114,132.7350909
115,136.2330909
116,142.2190909
117,141.3101818
118,139.1733636
119,142.4402727
120,147.2005455
121,151.0749091
122,152.9351818
123,154.3105455
124,156.7892727
125,158.03
126,157.0178182
127,164.4521818
128,161.3910909
129,161.1242727
130,167.4871818
131,172.0976364
132,172.8853636
133,170.1564545
134,166.1219091
135,164.3262727
136,165.9114545
137,162.7145455
138,156.9563636
139,153.2643636
140,151.6575455
141,144.6377273
142,145.489
143,138.7590909
144,128.9549091
145,126.2549091
146,122.8455455
147,118.6720909
148,119.2111818
149,113.8181818
150,111.6954545
151,111.3843636
152,107.1361727
153,103.5721091
154,101.0679
155,99.13953636
156,97.73514545
157,94.75640909
158,97.58973636
159,95.42002727
160,93.74346364
161,90.38361818
162,90.93941818
163,87.41371818
164,94.50858182
165,91.83505455
166,91.4421
167,90.0363
168,88.29826364
169,93.42824545
170,94.21580909
171,95.43527273
172,93.26000909
173,93.52231818
174,94.57231818
175,95.1838
176,95.39594545
177,96.61357273
178,96.85982727
179,98.39038182
180,106.1478364
181,108.8723636
182,105.4881909
183,115.1213636
184,119.5143636
185,130.0101818
186,126.0229091
187,114.6354545
188,113.872
189,112.5377273
190,114.0649091
191,116.4539091
192,118.9382727
193,115.1529091
194,114.5340909
195,116.2089091
196,116.2280909
197,118.4116364
198,117.944
199,117.922
200,121.0110909
201,118.465
202,121.3380909
203,120.84
204,121.4930909
205,121.5470909
206,118.183
207,119.9093636
208,122.4104545
209,119.228
210,122.0541818
211,118.2394545
212,111.3031818
213,112.6978182
214,112.3270909
215,108.3307273
216,107.1642727
217,105.5086364
218,108.8655455
219,108.3188182
220,103.6734636
221,100.9597727
222,104.1283909
223,104.7062
224,101.7248455
225,105.9290909
226,107.6717273
227,107.0472727
228,107.1037273
229,107.8553636
230,110.2499091
